tweet_id,tweet_url,text,created_at,lang,like_count,retweet_count,reply_count,quote_count,view_count,is_reply,in_reply_to_id,conversation_id,username,followers,tweet_length,contains_url,contains_media,source_type,text_processed,label_gpt,confidence_gpt,reasoning_gpt,label_claude,confidence_claude,reasoning_claude
2006146986492199157,https://x.com/PoldaJogja/status/2006146986492199157,"@prabowo @kab_kulonprogo @DivHumas_Polri mencetak generasi bangsa yang sehat dan unggul. Hal ini diperkuat dengan peresmian dan operasional SPPG Polri Argorejo, Sedayu, Bantul, (Senin, 29 Desember 2025) sebagai role model Program Makan Bergizi Gratis (#MBG) menuju #GenerasiEmas 2045.

#PolriUntukMasyarakat
#SPPGPolri",Tue Dec 30 23:34:48 +0000 2025,in,0,0,1,0,399,True,2.0061467948166966e+18,1855992911172956469,PoldaJogja,56793,318,False,False,search,mencetak generasi bangsa sehat unggul diperkuat peresmian operasional sppg polri argorejo sedayu bantul senin 29 desember 2025 role model program makan bergizi gratis 2045,NETRAL,0.85,Tweet menyampaikan informasi faktual tentang peresmian dan program tanpa mengekspresikan opini atau sentimen yang jelas.,POSITIF,0.85,"Tweet menggunakan framing positif dengan kata-kata seperti 'sehat unggul', 'peresmian operasional', dan 'role model' yang menunjukkan apresiasi dan dukungan terhadap Program Makan Bergizi Gratis. Menyebutkan program sebagai 'role model' mengindikasikan pandangan positif terhadap inisiatif tersebut."
2006139076743778464,https://x.com/SearahJam20848/status/2006139076743778464,"Bagi anak-anak di daerah terpencil, program Makan Bergizi Gratis bukan sekadar makanan — tapi harapan 
#PenuhiGiziIndonesia https://t.co/CuPAl29RfX",Tue Dec 30 23:03:22 +0000 2025,in,0,0,0,0,115,False,,2006139076743778464,SearahJam20848,3,147,False,False,search,anak anak daerah terpencil program makan bergizi gratis bukan makanan harapan,NEGATIF,0.85,"Tweet menyatakan bahwa program tidak memenuhi harapan, menunjukkan kekecewaan.",NEGATIF,0.85,Tweet menggunakan frasa 'bukan makanan harapan' yang mengindikasikan kekecewaan terhadap kualitas atau efektivitas Program MBG untuk anak-anak di daerah terpencil. Kata 'harapan' dalam konteks negatif ini menunjukkan program tidak memenuhi ekspektasi yang diinginkan.
2006139021857096154,https://x.com/SearahJam20848/status/2006139021857096154,"Program Makan Bergizi Gratis (MBG) tidak hanya berdampak pada peningkatan gizi anak, tetapi juga mendorong perputaran ekonomi lokal melalui pelibatan UMKM dan petani setempat. #PenuhiGiziIndonesia https://t.co/4l7pgy2GCA",Tue Dec 30 23:03:09 +0000 2025,in,0,0,0,0,178,False,,2006139021857096154,SearahJam20848,3,220,False,False,search,program makan bergizi gratis mbg tidak berdampak peningkatan gizi anak mendorong perputaran ekonomi lokal pelibatan umkm petani,NEGATIF,0.85,"Tweet menyatakan bahwa program tidak berdampak, menunjukkan kritik terhadap efektivitasnya.",POSITIF,0.6,parsed from text
2006138954836320324,https://x.com/MalekoP40085/status/2006138954836320324,Program Makan Bergizi Gratis merupakan wujud nyata kepedulian Pemerintah terhadap masa depan anak bangsa #PenuhiGiziIndonesia https://t.co/2VBVNt1kQs,Tue Dec 30 23:02:53 +0000 2025,in,0,0,0,0,98,False,,2006138954836320324,MalekoP40085,4,149,False,False,search,program makan bergizi gratis wujud nyata kepedulian pemerintah anak bangsa,POSITIF,0.9,Tweet mengekspresikan dukungan dan apresiasi terhadap Program MBG sebagai wujud kepedulian pemerintah.,POSITIF,0.92,Tweet mengekspresikan apresiasi dan dukungan terhadap Program MBG dengan frasa 'wujud nyata kepedulian pemerintah' yang menunjukkan sentimen positif dan optimisme terhadap program tersebut.
2006138852373610613,https://x.com/MalekoP40085/status/2006138852373610613,"Dari desa-desa di pegunungan Papua hingga pelosok Nusa Tenggara, Makan Bergizi Gratis telah menjadi bukti nyata kehadiran negara untuk anak-anak bangsa. 
#PenuhiGiziIndonesia https://t.co/SxXPBCbX0y",Tue Dec 30 23:02:29 +0000 2025,in,0,0,0,0,67,False,,2006138852373610613,MalekoP40085,4,198,False,False,search,desa desa pegunungan papua pelosok nusa tenggara makan bergizi gratis bukti nyata kehadiran negara anak anak bangsa,POSITIF,0.9,Tweet ini mengekspresikan dukungan dan apresiasi terhadap Program MBG dengan menyebutkan 'bukti nyata kehadiran negara'.,POSITIF,0.85,Tweet mengekspresikan apresiasi dan dukungan terhadap Program MBG dengan menyebutnya sebagai 'bukti nyata kehadiran negara'. Frasa 'makan bergizi gratis' untuk daerah terpencil menunjukkan kepuasan bahwa program menjangkau anak-anak di wilayah yang membutuhkan. Tidak ada kata negatif atau kritik dalam tweet ini.
2005938314168218071,https://x.com/iwalanwar/status/2005938314168218071,@xendless_s Ini namanya BMG = Bisnis Makan Gratis @prabowo @setkabgoid @KSPgoid,Tue Dec 30 09:45:37 +0000 2025,in,0,0,0,0,24,True,2.0055006621138452e+18,2005500662113845255,iwalanwar,109,79,False,False,search,namanya bmg bisnis makan gratis,NETRAL,0.9,Tweet menyampaikan informasi faktual tentang nama program tanpa mengekspresikan opini atau sentimen yang jelas.,NEGATIF,0.75,Tweet menggunakan istilah 'bisnis makan gratis' yang mengandung skeptisisme dan implikasi kritik terhadap Program MBG. Penyebutan 'namanya' menunjukkan keraguan atau sindiran bahwa program ini hanya sekadar nama/label tanpa substansi nyata. Tone sarcastic mengindikasikan ketidakpercayaan atau kekecewaan terhadap program.
2004447089393061965,https://x.com/WilonaWinona1/status/2004447089393061965,"Program MBG bukan sekadar makan gratis Prabowo melihat ini sebagai langkah strategis memutus stunting menaikkan kualitas SDM dan membangun masa depan Indonesia yang kuat dan cerdas #MBGInvestasiBangsa Goodbye Stunting IQ78

https://t.co/JGsi05Dp8p",Fri Dec 26 07:00:01 +0000 2025,in,1,0,0,0,38,False,,2004447089393061965,WilonaWinona1,513,247,True,False,search,program mbg bukan makan gratis prabowo langkah strategis memutus stunting menaikkan kualitas sdm membangun indonesia kuat cerdas goodbye stunting iq78,NETRAL,0.85,Tweet menyampaikan informasi tentang program MBG dan dampaknya tanpa mengekspresikan opini positif atau negatif yang jelas.,POSITIF,0.6,parsed from text
2003662957599945127,https://x.com/iwalanwar/status/2003662957599945127,@bangherwin BMG = Bisnis Makan Gratis @prabowo,Wed Dec 24 03:04:10 +0000 2025,in,1,0,0,0,148,True,2.0036191349748864e+18,2003619134974886295,iwalanwar,109,46,False,False,search,bmg bisnis makan gratis,NETRAL,0.9,Tweet ini hanya menyampaikan informasi faktual tentang 'bmg bisnis makan gratis' tanpa mengekspresikan opini atau sentimen yang jelas.,NETRAL,0.85,"Tweet hanya menyampaikan informasi faktual singkat tentang Program MBG (BMG) sebagai 'bisnis makan gratis' tanpa mengekspresikan opini, kritik, atau apresiasi yang jelas. Tidak ada indikator sentimen positif atau negatif yang terdeteksi."
2003602808566886795,https://x.com/donny_fathur/status/2003602808566886795,@somexthread Ganti aja nama nya jd BMG ( bisnis makan gratis ) @prabowo,Tue Dec 23 23:05:09 +0000 2025,in,0,0,0,0,32,True,2.0033491227332526e+18,2003349122733252636,donny_fathur,167,71,False,False,search,ganti nama jd bmg bisnis makan gratis,NETRAL,0.9,Tweet ini menyampaikan informasi tentang perubahan nama tanpa mengekspresikan opini positif atau negatif.,NETRAL,0.75,Tweet hanya menyampaikan saran/usulan untuk mengganti nama program menjadi 'BMG' (Bisnis Makan Gratis) tanpa mengekspresikan sentimen positif atau negatif yang jelas. Ini adalah pernyataan faktual/saran tanpa opini emosional yang kuat.
2003299356846490103,https://x.com/bejosps/status/2003299356846490103,"MBG : Makan Bergizi Gratis

BMG : Bisnis Makan Gratis

@prabowo @gibran_tweet 

Nataru aja orang pada libur DNA pulkam utk merayakan nya, Logika kalian dimana sih, pake otak lah, bisnis cuwan aja diotak kalian semua, ketika Allah murka dan rakyat murka kalian akan menanggung ini",Tue Dec 23 02:59:20 +0000 2025,in,0,0,0,0,50,False,,2003299356846490103,bejosps,166,279,False,False,search,mbg makan bergizi gratis bmg bisnis makan gratis nataru orang libur dna pulkam merayakan logika dimana pake otak bisnis cuwan diotak allah murka rakyat murka menanggung,NEGATIF,0.85,"Tweet mengandung ungkapan kekecewaan dan kritik terhadap program, dengan frasa yang menunjukkan kemarahan dan ketidakpuasan.",NEGATIF,0.6,parsed from text
